address_title,address_type,address_line1,address_line2,city,state,country,pincode,is_primary_address,is_shipping_address,gstin,gst_category,links.link_doctype,links.link_name
CHEMICAL ENTERPRISES,Billing,"PLOT.NO. 58 & 40, KAPAN INDUSTRIAL ESTATE","AKALTARA, DIST: JANJGIR, CHAMP, CHAHHATTISGARH",CHAHHATTISGARH,Chhattisgarh,India,,1,1,22AALFC3921D2ZY,Registered Regular,Customer,IMP-20260324-CUST-0014
MYSORE AMMONIA SUPPLY CORPORATION LLP,Billing,"128/5-6-7, GIDC NANDESARI-391340",VADODARA,VADODARA,Gujarat,India,391340,1,1,24AADFM1834D1ZT,Registered Regular,Customer,IMP-20260324-CUST-0015
SARTHAK LOGISTICS CO,Billing,"340/1/13, UDYOG NAGAR, MUSAKHEDI","PALDA, INDOR, MADHYA PRADESH-452020",INDOR,Madhya Pradesh,India,452020,1,1,23ADZFS4629R1ZX,Registered Regular,Customer,IMP-20260324-CUST-0016
JHAVERI CORPORATION,Billing,"0 ND FLOOR, 2 C-D CENTRE POINT","(COMMERCIAL COMPLEX) PANCHVATI 5 ROAD, NEAR AMBAWADI, AHMEDABAD-380006",AHMEDABAD,Gujarat,India,380006,1,1,24ADQPJ9231K1Z6,Registered Regular,Customer,IMP-20260324-CUST-0017
DIVINE CHEMICALS PVT LTD,Billing,"B-602, SHAPATH HEXA","NR. GUJARAT HIGH COURT, S.G.ROAD, AHMEDABAD-380060",AHMEDABAD,Gujarat,India,380060,1,1,24AAACD2324B1ZK,Registered Regular,Customer,IMP-20260324-CUST-0018
GOPINATH CHEM TECH LTD,Billing,"SURVEY.NO. 470, KADI, KUNDAL","MAHESANA-382715, GUJARAT",MAHESANA,Gujarat,India,382715,1,1,24AAACG3945M1ZH,Registered Regular,Customer,IMP-20260324-CUST-0019
JAY CHEMICALS INDUSTRIES LTD,Billing,"SURVEY .NO. 756-757, VILLAGE: KALAMSAR","TALUKA: KHAMBAT, DIST: ANAND",ANAND,Gujarat,India,,1,1,24AAACJ7628J1ZG,Registered Regular,Customer,IMP-20260324-CUST-0020
JAY CHEMICALS INDUSTRIES-UNIT,Billing,"PLOT.NO. DP 49 TO 52, GIDC ESTATE",DAHEJ,DAHEJ,Gujarat,India,,1,1,24AAACJ7628J1ZG,Registered Regular,Customer,IMP-20260324-CUST-0021
SHREE GANESH LOGISTICS,Billing,"63/64, RUSHIROOP COMPLEX, DAHEJ CHOWKDI","IPCL ROAD, DAHEJ- 392123, DIST: BHARUCH",DAHEJ,Gujarat,India,392123,1,1,24ABUFS4105R1ZH,Registered Regular,Customer,IMP-20260324-CUST-0022
B ROSHANLAL CHEMICALS PVT.LTD.,Billing,"15/2, ABHISHEK NAGAR","NEMAWAR ROAD, PALDA, INDOR-452020",INDOR,Madhya Pradesh,India,452020,1,1,23AADCB8379F1ZM,Registered Regular,Customer,IMP-20260324-CUST-0023
RISHABH CHEM TAX,Billing,"B-80, OPPSITE JAIN SCHOOL","AJEET COLONY, RATANADA, JODHPUR, RAJASTHAN-342001",JODHPUR,Rajasthan,India,342001,1,1,08BSAPD9436Q1Z7,Registered Regular,Customer,IMP-20260324-CUST-0024
SHIV TEX-CHEM.LTD.,Billing,"216/3, GIDC. Estate, Nr. Lupin Ltd.","ANKLESHWAR-393002, GUJARAT",ANKLESHWAR,Gujarat,India,393002,1,1,24AAICS8906N1ZS,Registered Regular,Customer,IMP-20260324-CUST-0025
GUJARAT ALKALIES AND CHEMICALS LTD.,Billing,P.O. PETROCHEMICALS - 391346,DIST:- VADODARA (GUJARAT) INDIA,DIST:- VADODARA (GUJARAT) INDIA,Gujarat,India,391346,1,1,24AAACG8896M1ZX,Registered Regular,Customer,IMP-20260324-CUST-0026
NEW INDIA ACID (BARODA) PVT. LIMITED,Billing,"CH. 61-62 DAHEJ, TAL: VAGRA","Dist: BHARUCH, 392130",VADODARA,Gujarat,India,392130,1,1,24AABCN8697C1ZB,Registered Regular,Customer,IMP-20260324-CUST-0027
SHREE VIJAY ROAD LINES,Billing,"NR. TRUCK PARKING YARD, RAILWAY CROSSING","DAMODARPURA, DIST: NEEMUCH (M.P)",NEEMUCH,,India,,1,1,,Unregistered,Customer,IMP-20260324-CUST-0028
VINAYAK ROADLINES,Billing,"SHRIPATI NAGAR, NR. DABOK","DABOK DIST: UDAIPUR-313021, RAJASTHAN",UDAIPUR UNIT,Rajasthan,India,313021,1,1,08AAACU8858M1ZJ,Registered Regular,Customer,IMP-20260324-CUST-0029
HIND CHEMICALS,Billing,SHOP NO. 9,"CORPOATE ANNEXE, NEXT TO UDYOG BHAVAN, SONAWALA ROAD, GOREGAON (EAST) MUMBAI - 400063",GOREGAON (EAST) MUMBAI,Maharashtra,India,400063,1,1,27AAAFH0897E1ZG,Registered Regular,Customer,IMP-20260324-CUST-0030
HARIKRUSHNA CARTING,Billing,PLOT.NO. 8 KRISHNA ROW HOUSE SARTHANA,"JAKAT NAKA VARCHHA ROAD, SURAT-395006",SURAT,,India,395006,1,1,,Unregistered,Customer,IMP-20260324-CUST-0031
CENTURY TEXOFIN PVT.LTD.,Billing,BALOTRA,RAJASTHAN,BALOTRA,Rajasthan,India,,1,1,08AADCC2252Q1ZE,Registered Regular,Customer,IMP-20260324-CUST-0032
VIMALSCOP PRODUCT,Billing,INDUSTRIAL AREA 1ST PHASE,BALOTRA-RAJASTHAN,BALOTRA,Rajasthan,India,,1,1,08AAKFV9044R1Z4,Registered Regular,Customer,IMP-20260324-CUST-0033
LASONS INDIA PVT LTD.,Billing,"8, NEW JAGRUTI","227, S.V.ROAD, BANDRA-(WEST), MUMBAI-50",MUMBAI-50,Maharashtra,India,,1,1,27AAACL3792R1ZR,Registered Regular,Customer,IMP-20260324-CUST-0034
JAY CHEMICALS INDUSTRIES LIMITED,Billing,"PLOT.NO. 109, 220, PHASE-II, GIDC","VATVA, AHMEDABAD- 382 445",AHMEDABAD,Gujarat,India,,1,1,24AAACJ7628J1ZG,Registered Regular,Customer,IMP-20260324-CUST-0035
PARVATI ENTERPRISES,Billing,"31-A, SECTOR-E, INDUSTRIAL ESTATE","SANWER ROAD, INDORE- 452015",INDORE,Madhya Pradesh,India,452015,1,1,23ACBPM9047J1ZI,Registered Regular,Customer,IMP-20260324-CUST-0036
AAP CHEM,Billing,"311, GIDC ESTATE","BIHIND L&T, RANOLI, VADODARA - 391350",VADODARA,Gujarat,India,391350,1,1,24AWAPP5444P1Z4,Registered Regular,Customer,IMP-20260324-CUST-0037
SAURASHTRA CHEMICALS(DIV OF NIRMA LTD),Billing,"BIRLA SAGAR ROAD, PORBANDAR",SAURASHTRA,PORBANDAR,Gujarat,India,,1,1,24AAACN5350K1ZJ,Registered Regular,Customer,IMP-20260324-CUST-0038
SUNLIKS INDIA PVT LTD.,Billing,"3 RD. FLOOR, 37, CITY CENTRE","C.G.ROAD, NAVRANGPURA, AHMEDABAD-9",AHMEDABAD,Gujarat,India,,1,1,24AABCS5514K1ZF,Registered Regular,Customer,IMP-20260324-CUST-0039
GULJAG INDUSTRIES LTD-UDAIPUR,Billing,F-333 UCCI CHEMBERS,"MADRI, UDAIPUR, RAJASTHAN",UDAIPUR UNIT,Rajasthan,India,,1,1,08AAACG1267E1ZX,Registered Regular,Customer,IMP-20260324-CUST-0040
GULJAG INDUSTRIES LTD-JAIPUR,Billing,"A-6, TRANSPORT NAGAR","AGRA ROAD, JAIPUR. (RAJ.)",JAIPUR,Rajasthan,India,,1,1,08AAACG1267E1ZX,Registered Regular,Customer,IMP-20260324-CUST-0041
DAGA EXPORT,Billing,BALOTRA,RAJASTHAN,BALOTRA,Rajasthan,India,,1,1,08AIBPD0864A2ZX,Registered Regular,Customer,IMP-20260324-CUST-0042
R.K.CARRIER INDIA PVT LTD,Billing,"40, LAXMI NAGAR, NEAR SUB-CITY CENTER","SEC.8. HIRAN MAGRI, UDAIPUR, RAJASTHAN","SEC.8. HIRAN MAGRI, UDAIPUR",Rajasthan,India,,1,1,08AADCR8681E1Z3,Registered Regular,Customer,IMP-20260324-CUST-0043
HINDUSTAN ZINC LTD.,Billing,RAJASTHAN,,Rajasthan,Rajasthan,India,,1,1,08AAACH7354K1ZB,Registered Regular,Customer,IMP-20260324-CUST-0044
SHREE SHIV AGRO - BARODA,Billing,"258, AMITNAGAR SOCIETY","VIP ROAD, KARELIBAUG, VADODARA - 390 022",VADODARA,Gujarat,India,,1,1,24ACAPP8076D1ZO,Registered Regular,Customer,IMP-20260324-CUST-0045
A.B.CORPORATION,Billing,"B-908, VENKATESH SHANTI, BALAJI COMPLEX","150 FEET ROAD, BHAYANDAR-(WEST), DIST-THANE-401 101, MAHARASHTRA",DIST-THANE-401 101,Maharashtra,India,,1,1,27AOKPP5949M1ZO,Registered Regular,Customer,IMP-20260324-CUST-0046
SHIVAM AGRO CHEMICALS,Billing,"PLOT.NO.10, INDUSTRIAL COMPLES","BY PASS ROAD, KARJAN-391240",KARJAN,Gujarat,India,391240,1,1,24AFLPB8873Q1ZP,Registered Regular,Customer,IMP-20260324-CUST-0047
SHUBHAM TRANSPORT CORPORATION,Billing,GANDHIDHAM,370201 (GUJ),GANDHIDHAM,,India,370201,1,1,,Unregistered,Supplier,IMP-20260324-SUP-0005
HIND ACID & CHEMICALS CO.,Billing,"PLOT NO. 264, GIDC ESTATE","NR. NARAYAN SILK MILLS, PANDESARA, SURAT",SURAT,Gujarat,India,,1,1,24ABTPP7707R1ZM,Registered Regular,Customer,IMP-20260324-CUST-0048
SAHIL ENTERPRIES,Billing,"23, 1ST FLOOR, SAROVAR ARCADE","NR. LAL GEBI CIRCLE, S.P. RING ROAD, HATHIJAN, AHMEDABAD - 380 011",AHMEDABAD,Gujarat,India,,1,1,24AHQPP8540B1Z9,Registered Regular,Customer,IMP-20260324-CUST-0049
BODAL CHEMICALS LTD-UNTI-I,Billing,VATVA,AHMEDABAD.,AHMEDABAD.,Gujarat,India,,1,1,24AAACD5352M1ZN,Registered Regular,Customer,IMP-20260324-CUST-0050
BODAL CHEMICALS LTD-UNTI-III,Billing,AHEMIDABAD,GUJARAT,AHMEDABAD.,Gujarat,India,,1,1,24AAACD5352M1ZN,Registered Regular,Customer,IMP-20260324-CUST-0051
HARI ORGOCHEM PVT . LTD.,Billing,"A-2, 237/238","GIDC, NANDESARI, VADODARA, GUJARAT",VADODARA,Gujarat,India,,1,1,24AAACH7088L1Z8,Registered Regular,Customer,IMP-20260324-CUST-0052
BODAL CHEMICALS LTD. UNIT -VII,Billing,"BLOCK NO. 795 TO 803, 804, 807. 832.","MAIN ROAD, PADRA, KARAKHADI, VADODARA",VADODARA,Gujarat,India,,1,1,24AAACD5352M1ZN,Registered Regular,Customer,IMP-20260324-CUST-0053
BODAL CHEMICALS LTD. UNIT -VIII,Billing,PADRA,VADODARA,VADODARA,Gujarat,India,,1,1,24AAACD5352M1ZN,Registered Regular,Customer,IMP-20260324-CUST-0054
NIRMA LIMITED,Billing,ASHRAM ROAD,"AHEMIDABAD-380 009, GUJARAT",AHMEDABAD.,Gujarat,India,,1,1,24AAACN5350K1ZJ,Registered Regular,Customer,IMP-20260324-CUST-0055
AGRI CHEM CORPORATION,Billing,"PLOT. NO. 3504, PHASE-4","GIDC CHHATRAL, MEHSANA",MAHESANA,Gujarat,India,,1,1,24ABFFA0794B1ZW,Registered Regular,Customer,IMP-20260324-CUST-0056
HINDALCO INDUSTRIES LIMITED,Billing,UNIT: BIRLA COPPRE,"P.O.: DAHEJ, DIST: BHARUCH-392130, GUJARAT",DAHEJ,Gujarat,India,392130,1,1,24AAACH1201R1ZT,Registered Regular,Customer,IMP-20260324-CUST-0057
"GSFC LTD,FERTILIZAR NAGAR",Billing,BARODA,"BARODA, GUJARAT",VADODARA,Gujarat,India,,1,1,24AAACG7996C1ZJ,Registered Regular,Customer,IMP-20260324-CUST-0058
RADHAMADHAV SURFACTANTS PVT . LTD.,Billing,"PLOT NO. 6136, ROAD NO. 61","GIDC ESTATE, SACHIN, SURAT",SURAT,Gujarat,India,,1,1,24AAECR6936M1ZX,Registered Regular,Customer,IMP-20260324-CUST-0059
SHRI KRISHNA DETCHEM (P) LTD.,Billing,SURVEY NO.357/1/2,"VILLAGE : DADAR NAGAR HAVELI, SILVASSA",SILVASSA,Dadra and Nagar Haveli and Daman and Diu,India,,1,1,26AAHCS3409H1ZE,Registered Regular,Customer,IMP-20260324-CUST-0060
BANSAL CHEM,Billing,"SAMSPUR, ETHA","JALESAR, UTTAR PRADESH-207302",JALESAR,Uttar Pradesh,India,207302,1,1,09AAPFB9699B1ZT,Registered Regular,Customer,IMP-20260324-CUST-0061
RAGHAV CHEM,Billing,BY PASS ROAD,"JALESAR, DIST: ETA-201302, UTTAR PRADESH","JALESAR,DIST: ETA",Uttar Pradesh,India,201302,1,1,09AQYPB8865C2Z9,Registered Regular,Customer,IMP-20260324-CUST-0062
HITESH CHEMICALS,Billing,"6504, NEAR HOECHST CHIWKDI","G.I.D.C. ESTATE, ANKLESHWAR-393002, BHARUCH",ANKLESHWAR,Gujarat,India,393002,1,1,24AAMPP2878H1ZA,Registered Regular,Customer,IMP-20260324-CUST-0063
GOWARDHAN BIOCHEM,Billing,SHARDA NIWAS,"27/13, NEHRU NAGER WEST, BHIAL, DIST:- DURG-490020, CHHATTISGARH",DIST:- DURG,Chhattisgarh,India,490020,1,1,22AQAPB0666P1Z0,Registered Regular,Customer,IMP-20260324-CUST-0064
RADHA KRISHNA FAQRI CHANDAR,Billing,"SHADABAD ROAD, JALESAR TOWN","DIST:- ETHA (U.P.), UTTAR PRADESH-207302",DIST:- ETHA (U.P.),Uttar Pradesh,India,207302,1,1,09AABFR3126M1Z2,Registered Regular,Customer,IMP-20260324-CUST-0065
M.K.INDUSTRIEAL CORPORATION,Billing,"611, GOYAL TRADE CENTRE","SHANTIVAN, BORIVALI (EAST), MUMBAI-400066",MUMBAI,Maharashtra,India,400066,1,1,27AACPK0521A1ZL,Registered Regular,Customer,IMP-20260324-CUST-0066
PREM GOODS CARRIER,Billing,"10, VARUNDAVAN SOC. KARODIYA ROAD, AT BAJWA",DIST: VADODARA,VADODARA,Gujarat,India,,1,1,24APYPK98721ZJ,Registered Regular,Customer,IMP-20260324-CUST-0067
JAHNAVI MINERALS,Billing,"13-A, SECTROR-5, GHANDI NAGAR","CHITTORGARH, RAJASTHAN",CHHATTISGARH,Gujarat,India,,1,1,24AROPN8684D1Z2,Registered Regular,Customer,IMP-20260324-CUST-0068
H.N. ENTERPRIES,Billing,"47/1/24, G.I.D.C.","NANDESARI, VADODARA",VADODARA,Gujarat,India,,1,1,24AAAFH9335D1ZP,Registered Regular,Customer,IMP-20260324-CUST-0069
VEGA CHEMICALS PVT. LTD.,Billing,"F-23, MIDC AREA","JALGOAN-425003, MAHARASHTRA",JALGOAN,Maharashtra,India,425003,1,1,27AAECV1029M1Z5,Registered Regular,Customer,IMP-20260324-CUST-0070
SOMANI ENTERPRISES,Billing,"360-361, ANAND NAGAR","PRAK STREET, BEHIND SARASWATI SCHOOL, MANDIYA ROAD, PALI",PALI,Rajasthan,India,,1,1,08ACOPS6527L1ZS,Registered Regular,Customer,IMP-20260324-CUST-0071
PAYAL POLYPLAST PVT. LTD,Billing,"PLOT NO. 87, 88 & 102, 103","PANCHAL UDYOG NAGAR, BHIMPORE, DAMAN - 396210",DAMAN,Dadra and Nagar Haveli and Daman and Diu,India,396210,1,1,26AAFCP5296B1ZE,Registered Regular,Customer,IMP-20260324-CUST-0072
PRAFUL VENTURE PRIVATE LIMITED,Billing,"D-4, VIJAY PARK MATHURADAS EXT.ROAD","NEAR ATUL TOWER, KANDIVALI(WEST), MUMBAI-400 067",MUMBAI-400 067,Maharashtra,India,,1,1,27AAGCP9471K1ZR,Registered Regular,Customer,IMP-20260324-CUST-0073
PINE TADING PVT. LTD.,Billing,"5-E, 5 TH FLOOR, "" AVSAR"".","77/81 KAZI SYED STREET, MANDVI, MUMBAI-400 003",MUMBAI-400 003,Maharashtra,India,,1,1,27AAACP6161G1ZH,Registered Regular,Customer,IMP-20260324-CUST-0074
GULJAG INDUSTRIES LTD. (JODHPUR),Billing,NAHATA BHAWAN,"CHOPASNI ROAD, JODHPUR-342 003, RAJASTHAN",JODHPUR-342 003,Rajasthan,India,,1,1,08AAACG1267E1ZX,Registered Regular,Customer,IMP-20260324-CUST-0075
GAUTAM CHLOROALKALIES PVT LTD.,Billing,"311, PANCHAM HIGHSTREET. O.P. ROAD",VADODARA-390007,VADODARA,Gujarat,India,390007,1,1,24AAACG8724A1Z3,Registered Regular,Customer,IMP-20260324-CUST-0076
GOKUL TANKER SERVICES PVT.LTD.,Billing,"1ST FLOOR, 106/2, PIPLIA PALA","NR. RAJEEV GANDHI CIRCLE, RING ROAD, INDOR-452001",INDOR,,India,452001,1,1,,Unregistered,Customer,IMP-20260324-CUST-0077
GULJAG INDUSTRIES LTD. (BHILWARA),Billing,"PUR ROAD, NEAR DHARAM KATA","NEAR BABAL TALKIES, OPP:- RAILWAY STATION, BHILWARA (RAJASTHAN)",BHILWARA,Rajasthan,India,,1,1,08AAACG1267E1ZX,Registered Regular,Customer,IMP-20260324-CUST-0078
N.K.MODI,Billing,"B-3, LOHAHAVAN, LAKKADPITHA ROAD",VADODARA,VADODARA,Gujarat,India,,1,1,24AEQPM9774F1ZW,Registered Regular,Customer,IMP-20260324-CUST-0079
HARSH CHEMICALS,Billing,"G1-253, 4 TH PHASE, INDUSTRIAL AREA","BALOTRA., RAJASTHAN - 344022",BALOTRA,Rajasthan,India,344022,1,1,08ALCPS7504A1ZD,Registered Regular,Customer,IMP-20260324-CUST-0080
GULJAG INDUSTRIES LTD (PALI),Billing,"31, GHARWALA JHAV","MANDIA ROAD, PALI, MARWAR",PALI,Rajasthan,India,,1,1,08AAACG1267E1ZX,Registered Regular,Customer,IMP-20260324-CUST-0081
YOGESHWAR CORPORATION,Billing,"13, SUDAMA INDUSTRIAL ESTATE","B/H. CALICO NAGAR, NAROL, AHMEDABAD - 382 405",AHMEDABAD.,Gujarat,India,,1,1,24CRIPS2105K1ZR,Registered Regular,Customer,IMP-20260324-CUST-0082
AURO TAXTILES (VARDHMAN TAXTILES LTD),Billing,(A UNIT OF VARDHMAN TAXTILES LTD.),"SAI ROAD, BADDI, - 173205, HIMACHAL PRADESH",BADDI UNIT,Himachal Pradesh,India,173205,1,1,02AABCM4692E1ZR,Registered Regular,Customer,IMP-20260324-CUST-0083
TRANSIN LOGISTICS PVT LTD.,Billing,"68, KUTCH ARCDE, N.H.8/A","GANDHIDHAM, KUTCH-370201",KUTCH,Telangana,India,370201,1,1,36AAFCT6966J1ZP,Registered Regular,Customer,IMP-20260324-CUST-0084
KUTCH CHEMICAL INDUSTRIES LTD,Billing,SURVEY NO. 166/12&3,"VILLAGE : PADANA, TAL : GANDHIDHAM, KUTCH",KUTCH,Gujarat,India,,1,1,24AABCK8460A1ZX,Registered Regular,Customer,IMP-20260324-CUST-0085
NRN ENTERPRISES,Billing,"C-28, PRATAPNAGAR, RED HOUSE ROAN","ST.PATRICK SCHOOL, OPP: ROYAL ACADMEY SCHOOL, UDAIPUR, RAJASTHAN",UDAIPUR,Rajasthan,India,,1,1,08AZUPT6571E1ZL,Registered Regular,Customer,IMP-20260324-CUST-0086
MEWAR CHEM-TECH PVT LTD.,Billing,"C-20, PRATAPNAGAR","UDAIPUR, RAJASTHAN-313001","UDAIPUR,RAJASTHAN",Rajasthan,India,313001,1,1,08AAECM9870F1Z4,Registered Regular,Customer,IMP-20260324-CUST-0087
OM CHEMUCAL INDUSTRIES LTD.,Billing,"MANDAR BLDG, FLAT.NO. 3, 2ND, FLOOR","PLOT.NO-193, TURNER ROAN, BANDRA, (WEST) MUMBAI-400050, MAHARASHTRA","BANDRA,(WEST) MUMBAI",Maharashtra,India,400050,1,1,27AAACO0764G1ZL,Registered Regular,Customer,IMP-20260324-CUST-0088
AAKASH CLAY TECH,Billing,"I-1, MARKET YARD MEHSANA","PALASAR ROAD, TAL. CHARAMA, GUJRAT",MEHSANA,Gujarat,India,,1,1,24AANFA1403G1Z0,Registered Regular,Customer,IMP-20260324-CUST-0089
SHREE MAHALAXMI TRANSCHEM,Billing,"504, ELEGANCE, LBS MARG","NR. FOREST OFFICE, THANE(W)-400602, MAHARASHTRA","NR. FOREST OFFICE, THANE(W)",Maharashtra,India,400602,1,1,27ALTPM3438L1ZE,Registered Regular,Customer,IMP-20260324-CUST-0090
RAGHAV CHEMICALS,Billing,"3RD FLOOR, ABHAY CHAMBERS","JALORI GATE, JODHPUR, RAJASTHAN",JODHPUR,Rajasthan,India,,1,1,08ADMPR4521N1ZZ,Registered Regular,Customer,IMP-20260324-CUST-0091
P.K. CHLOROCHEM P. LTD.,Billing,"FF-2, SHREEJI COMPLEX","OPP, INDRA COMPLEX, NR. ATMJYOTI BUS STAND, MANJALPUR",VADODARA,Gujarat,India,,1,1,24AADCP9406F1ZK,Registered Regular,Customer,IMP-20260324-CUST-0092
WELTERMAN INTERNATIONAL LTD,Billing,"PLOT.NO. 1135, LAMDAPURA ROAN","NEAR MANJUSAR LAMDAPURA, SAVLI, VADODARA-391775",BRD,Gujarat,India,391775,1,1,24AAACW1721H2ZP,Registered Regular,Customer,IMP-20260324-CUST-0093
A-1 ACID LIMITED,Billing,"A-1""SHIVALIK BUSINESS CENTRE""","OPP: KANS VILL GOLF ACADMY, B/H. RAJPATH CLUB, OFF S.G. HIGHEAY, BODAKDEV, AHMEDABAD-380 059","BODAKDEV, AHMEDABAD-380 059",Gujarat,India,,1,1,24AAECA6907F1ZY,Registered Regular,Supplier,IMP-20260324-SUP-0006
GUJARAT ALKALIES & CHEMICALS LIMITED,Billing,P.O. : DAHEJ-392130 TAL-VAGRA,DIST:- BHARUCH (GUJARAT),BHARUCH,Gujarat,India,392130,1,1,24AAACG8896M1ZX,Registered Regular,Customer,IMP-20260324-CUST-0094
MAHESHWARI ACID AND CHEMICALS,Billing,COLLEGE ROSAD,"BHILWARA, RAJASTHAN-311001",BHILWARA,Rajasthan,India,311001,1,1,08BFTPS4839A1Z0,Registered Regular,Customer,IMP-20260324-CUST-0095
VEE KAY OILS PVT LTD,Billing,"804, 8TH FLOOR, B-WING","NAMAN MIDTOWN, NEAR INDIA BULLS BUILDING, SENAPATI BAPAT MARG, ELPHINSAT ONE (WEST) MUMBAI-400013","SENAPATI BAPAT MARG,ELPHINSAT ONE (WEST) MUMBAI",Maharashtra,India,400013,1,1,27AAACV7617D1ZE,Registered Regular,Customer,IMP-20260324-CUST-0096
NIKEN CHEMICALS CO.,Billing,SHREERAM ESTATE,"OPP. PANDESARA PETROL PUMP, NEAR BATLIBOI, BHDWAD, SURAT - 394 220",SURAT,Gujarat,India,,1,1,24AGKPP8416B1ZI,Registered Regular,Customer,IMP-20260324-CUST-0097
PATEL ENTERPRIES,Billing,"A/8, CITIZEN SOCIETY","NEAR ATMAJOYTI ASHRAM, ELLORAPARK, VADODARA",VADODARA,Gujarat,India,,1,1,24AABFP7765J1ZX,Registered Regular,Customer,IMP-20260324-CUST-0098
AMLF LOGISTICS PVT. LTD.,Billing,"PLOT.NO. PAP-D-141, NR. BALMER LAWRIE.","TURBHE TTC IND. AREA, TURBHE NAVI MUMBAI, MAHARASHTRA","TURBHE TTC IND. AREA, TURBHE NAVI MUMBAI",Maharashtra,India,,1,1,,Unregistered,Customer,IMP-20260324-CUST-0099
