source_row,suggested_doctype,reason,PartyName,PartyRole,PartyAlias,Address1,Address2,Address3,Address4,PlaceName,GSTNo,PANNo,AccCode
772,Account,This role looks like a ledger or account head rather than a party master.,MAHINDRA & MAHINDRA FINANCE. - AZ 8799,Loanaccount,MAHINDRA & MAHINDRA FINANCE. - AZ 8799,,,,,,,,MAHINDRA & MAHINDRA FINANCE. - AZ 8799
773,Account,This role looks like a ledger or account head rather than a party master.,MAHINDRA FINANCE - AZ 9399,Loanaccount,MAHINDRA FINANCE - AZ 9399,,,,,,,,MAHINDRA FINANCE - AZ 9399
774,Account,This role looks like a ledger or account head rather than a party master.,MAHINDRA FINANCE - AZ 4699,Loanaccount,MAHINDRA FINANCE - AZ 4699,,,,,,,,MAHINDRA FINANCE - AZ 4699
776,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM BNP PARIBAS HOME FINANCE LTD - H.E.,Loanaccount,SUNDARAM BNP PARIBAS HOME FINANCE LTD - H.E.,,,,,,,,SUNDARAM BNP PARIBAS HOME FINANCE LTD - H.E.
777,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM BNP PARIBAS HOME FINANCE LTD - H.L.,Loanaccount,SUNDARAM BNP PARIBAS HOME FINANCE LTD - H.L.,,,,,,,,SUNDARAM BNP PARIBAS HOME FINANCE LTD - H.L.
778,Account,This role looks like a ledger or account head rather than a party master.,IDFC BANK - AZ 6273,Loanaccount,IDFC BANK - AZ 6273,,,,,,,,IDFC BANK - AZ 6273
779,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK LTD. - BT - 4799,Loanaccount,AXIS BANK LTD. - BT - 4799,,,,,VADODARA,,,AXIS BANK LTD. - BT - 4799
780,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK LTD. - BT - 4199,Loanaccount,AXIS BANK LTD. - BT - 4199,,,,,VADODARA,,,AXIS BANK LTD. - BT - 4199
781,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK - BT - 6699,Loanaccount,AXIS BANK - BT - 6699,,,,,VADODARA,,,AXIS BANK - BT - 6699
782,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK - BT- 7899,Loanaccount,AXIS BANK - BT- 7899,,,,,VADODARA,,,AXIS BANK - BT- 7899
784,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK LTD. - BT - 4399,Loanaccount,AXIS BANK LTD. - BT - 4399,,,,,,,,AXIS BANK LTD. - BT - 4399
785,Account,This role looks like a ledger or account head rather than a party master.,ICICI BANK LTD - AZ 2487,Loanaccount,ICICI BANK LTD - AZ 2487,,,,,VADODARA,,,ICICI BANK LTD - AZ 2487
786,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM FINANCE LTD. - AV-8299,Loanaccount,SUNDARAM FINANCE LTD. - AV-8299,,,,,,,,SUNDARAM FINANCE LTD. - AV-8299
787,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM FINANCE LTD. - AV-3306 (0563),Loanaccount,SUNDARAM FINANCE LTD. - AV-3306 (0563),,,,,,,,SUNDARAM FINANCE LTD. - AV-3306 (0563)
788,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM FINANCE LTD. - AU-7259 (0647),Loanaccount,SUNDARAM FINANCE LTD. - AU-7259 (0647),,,,,VADODARA,,,SUNDARAM FINANCE LTD. - AU-7259 (0647)
789,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM FINANCE LTD. - AZ-6471,Loanaccount,SUNDARAM FINANCE LTD. - AZ-6471,,,,,VADODARA,,,SUNDARAM FINANCE LTD. - AZ-6471
790,Account,This role looks like a ledger or account head rather than a party master.,YES BANK - AZ-6570,Loanaccount,YES BANK - AZ-6570,,,,,VADODARA,,,YES BANK - AZ-6570
791,Account,This role looks like a ledger or account head rather than a party master.,YES BANK - BT-6399,Loanaccount,YES BANK - BT-6399,,,,,VADODARA,,,YES BANK - BT-6399
792,Account,This role looks like a ledger or account head rather than a party master.,YES BANK - BT -6499,Loanaccount,YES BANK - BT -6499,,,,,VADODARA,,,YES BANK - BT -6499
793,Account,This role looks like a ledger or account head rather than a party master.,YES BANK LTD. - BT-5499,Loanaccount,YES BANK LTD. - BT-5499,,,,,VADODARA,,,YES BANK LTD. - BT-5499
794,Account,This role looks like a ledger or account head rather than a party master.,YES BANK LTD. - BT - 5199,Loanaccount,YES BANK LTD. - BT - 5199,,,,,VADODARA,,,YES BANK LTD. - BT - 5199
798,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - BT-5445,Loanaccount,KOTAK MAHINDRA BANK - BT-5445,,,,,VADODARA,,,KOTAK MAHINDRA BANK - BT-5445
799,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - 2377,Loanaccount,KOTAK MAHINDRA BANK LTD. - 2377,,,,,VADODARA,,,KOTAK MAHINDRA BANK LTD. - 2377
800,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - BT-6504,Loanaccount,KOTAK MAHINDRA BANK LTD. - BT-6504,,,,,VADODARA,,,KOTAK MAHINDRA BANK LTD. - BT-6504
801,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - AZ-2599,Loanaccount,KOTAK MAHINDRA BANK LTD. - AZ-2599,,,,,VADODARA,,,KOTAK MAHINDRA BANK LTD. - AZ-2599
802,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - AX-9603,Loanaccount,KOTAK MAHINDRA BANK LTD. - AX-9603,,,,,VADODARA,,,KOTAK MAHINDRA BANK LTD. - AX-9603
803,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - AX-9162,Loanaccount,KOTAK MAHINDRA BANK LTD. - AX-9162,,,,,VADODARA,,,KOTAK MAHINDRA BANK LTD. - AX-9162
804,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - AX-9018,Loanaccount,KOTAK MAHINDRA BANK LTD. - AX-9018,,,,,VADODARA,,,KOTAK MAHINDRA BANK LTD. - AX-9018
805,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK - MSME LOAN,Loanaccount,KOTAK MAHINDRA BANK - MSME LOAN,,,,,VADODARA,,,KOTAK MAHINDRA BANK - MSME LOAN
806,Account,This role looks like a ledger or account head rather than a party master.,HDFC BANK LTD. - LK 7599,Loanaccount,HDFC BANK LTD. - LK 7599,,,,,VADODARA,,,HDFC BANK LTD. - LK 7599
807,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK - NEW CHASSIS,Loanaccount,AXIS BANK - NEW CHASSIS,,,,,VADODARA,,,AXIS BANK - NEW CHASSIS
815,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",MITESH C. PATEL - CAPITAL,Buyer,MITESH C. PATEL - CAPITAL,,,,,VADODARA,,,CAPITAL - MITESH PATEL
816,Account,This role looks like a ledger or account head rather than a party master.,SECURITY EXPENSE,Expense,SECURITY EXPENSE,,,,,,,,SECURITY EXPENSE
818,Account,This role looks like a ledger or account head rather than a party master.,RATE DIFFERENCE - IGST,Income Head,RATE DIFFERENCE - IGST,,,,,,,,RATE DIFFERENCE - IGST
820,Account,This role looks like a ledger or account head rather than a party master.,COURRIER EXP A/C.,Expense,COURRIER EXP A/C.,,,,,VADODARA,,,COURRIER EXP A/C.
825,Vehicle,Source row does not include the required ERPNext Vehicle fields.,Eicher Motors Ltd.,Vehicle Manufacturer,Eicher Motors Ltd.,,,,,,,,Eicher Motors Ltd.
832,Account,This role looks like a ledger or account head rather than a party master.,TATA MOTOR FINANCE LTD - BT - 5299,Loanaccount,TATA MOTOR FINANCE LTD - BT - 5299,,,,,GUJARAT,,,TATA MOTOR FINANCE LTD - BT - 5299
833,Account,This role looks like a ledger or account head rather than a party master.,HDFC BANK LTD. - BT-6597,Loanaccount,HDFC BANK LTD. - BT-6597,,,,,GUJARAT,,,HDFC BANK LTD. - BT-6597
834,Account,This role looks like a ledger or account head rather than a party master.,TATA MOTORS FINANCE SOLUTIONS LTD - 0125,Loanaccount,TATA MOTORS FINANCE SOLUTIONS LTD - 0125,,,,,GUJARAT,,,TATA MOTORS FINANCE SOLUTIONS LTD - 0125
835,Account,This role looks like a ledger or account head rather than a party master.,TATA MOTORS FINANCE SOLUTIONS LTD - 0030,Loanaccount,TATA MOTORS FINANCE SOLUTIONS LTD - 0030,,,,,GUJARAT,,,TATA MOTORS FINANCE SOLUTIONS LTD - 0030
836,Account,This role looks like a ledger or account head rather than a party master.,TATA MOTORS FINANCE SOLUTIONS LTD - 0271,Loanaccount,TATA MOTORS FINANCE SOLUTIONS LTD - 0271,,,,,GUJARAT,,,TATA MOTORS FINANCE SOLUTIONS LTD - 0271
837,Account,This role looks like a ledger or account head rather than a party master.,TATA MOTORS FINANCE SOLUTIONS LIMITED - AU 7299,Loanaccount,TATA MOTORS FINANCE SOLUTIONS LIMITED - AU 7299,,,,,GUJARAT,,,TATA MOTORS FINANCE SOLUTIONS LIMITED - AU 7299
838,Account,This role looks like a ledger or account head rather than a party master.,TATA MOTORS FINANCE SOLUTIONS - MSME LOAN,Loanaccount,TATA MOTORS FINANCE SOLUTIONS - MSME LOAN,,,,,GUJARAT,,,TATA MOTORS FINANCE SOLUTIONS - MSME LOAN
839,Account,This role looks like a ledger or account head rather than a party master.,AXIS BANK LTD. - BT - 3099,Loanaccount,AXIS BANK LTD. - BT - 3099,,,,,VADODARA,,,AXIS BANK LTD. - BT - 3099
840,Account,This role looks like a ledger or account head rather than a party master.,SUNDARAM FINANCE LIMITED - MSME LOAN,Loanaccount,SUNDARAM FINANCE LIMITED - MSME LOAN,,,,,VADODARA,,,SUNDARAM FINANCE LIMITED - MSME LOAN
841,Account,This role looks like a ledger or account head rather than a party master.,HDB FINANCIAL SERVICES LTD. - 6259,Loanaccount,HDB FINANCIAL SERVICES LTD. - 6259,"RADHIKA, 2ND FLOOR,","LAW GARDEN ROAD, NAVRANGPURA,",AHMEDABAD - 380009,LOAN ACCOUNT NO. : 4906593,GUJARAT,,,HDB FINANCIAL SERVICES LTD. - 6259
842,Account,This role looks like a ledger or account head rather than a party master.,MAHINDRA & MAHINDRA FINANCE LTD. - GA 1193,Loanaccount,MAHINDRA & MAHINDRA FINANCE LTD. - GA 1193,,,,,GUJARAT,,,MAHINDRA & MAHINDRA FINANCE LTD. - GA 1193
843,Account,This role looks like a ledger or account head rather than a party master.,Mahindra & Mahindra Finance Ltd. - AV-2199,Loanaccount,Mahindra & Mahindra Finance Ltd. - AV-2199,,,,,GUJARAT,,,Mahindra & Mahindra Finance Ltd. - AV-2199
844,Account,This role looks like a ledger or account head rather than a party master.,Mahindra & Mahindra Finance Ltd. - 7611,Loanaccount,Mahindra & Mahindra Finance Ltd. - 7611,,,,,GUJARAT,,,Mahindra & Mahindra Finance Ltd. - 7611
845,Account,This role looks like a ledger or account head rather than a party master.,Mahindra & Mahindra Finance Ltd - AV-1899,Loanaccount,Mahindra & Mahindra Finance Ltd - AV-1899,,,,,GUJARAT,,,Mahindra & Mahindra Finance Ltd - AV-1899
846,Account,This role looks like a ledger or account head rather than a party master.,HDFC BANK ECLGS LOAN (MSME),Loanaccount,HDFC BANK ECLGS LOAN (MSME),,,,,GUJARAT,,,HDFC BANK ECLGS LOAN (MSME)
847,Account,This role looks like a ledger or account head rather than a party master.,KOTAK MAHINDRA BANK LTD. - BT-6599,Loanaccount,KOTAK MAHINDRA BANK LTD. - BT-6599,,,,,GUJARAT,,,KOTAK MAHINDRA BANK LTD. - BT-6599
869,Account,This role looks like a ledger or account head rather than a party master.,HDFC BANK LTD. CAR LOAN - GJ-06-KH-7599,Loanaccount,HDFC BANK LTD. CAR LOAN - GJ-06-KH-7599,,,,,,,,HDFC BANK LTD. CAR LOAN - GJ-06-KH-7599
870,Manual Review,"Role mixes party and ledger-style records, so it was not auto-imported.",M G V C L,Vendor,M G V C L,,,,,,,,M G V C L
871,Account,This role looks like a ledger or account head rather than a party master.,TRANSPORT CHARGES PAID,Account Group,TRANSPORT CHARGES PAID,,,,,,,,TRANSPORT CHARGES PAID
874,Account,This role looks like a ledger or account head rather than a party master.,DHFL,Loanaccount,DHFL,,,,,GUJARAT,,,DHFL
